Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
1738 Nw Market St,Auto Fire Alarm,11/09/2015 12:27:00 PM +0000,47.668673,-122.380611,"(47.668673, -122.380611)",F150128517
6940 62nd Av Ne,Auto Fire Alarm,11/09/2015 12:22:00 PM +0000,47.678821,-122.262227,"(47.678821, -122.262227)",F150128516
3040 17th Av W,Auto Fire Alarm,11/09/2015 03:38:00 AM +0000,47.647628,-122.37887,"(47.647628, -122.37887)",F150128424
7500 Seward Park Av S,Auto Fire Alarm,11/09/2015 03:29:00 AM +0000,47.535387,-122.267284,"(47.535387, -122.267284)",F150128419
300 Roy St,Auto Fire Alarm,11/09/2015 02:50:00 AM +0000,47.625438,-122.35148,"(47.625438, -122.35148)",F150128402
11506 Stone Av N,Auto Fire Alarm,11/09/2015 01:21:00 AM +0000,47.712367,-122.342125,"(47.712367, -122.342125)",F150128368
10306 Meridian Av N,Auto Fire Alarm,11/09/2015 01:20:00 AM +0000,47.703266,-122.333904,"(47.703266, -122.333904)",F150128366
10306 Meridian Av N,Auto Fire Alarm,11/09/2015 12:48:00 AM +0000,47.703266,-122.333904,"(47.703266, -122.333904)",F150128361
8808 6th Av Nw,Auto Fire Alarm,11/08/2015 11:14:00 PM +0000,47.692854,-122.363335,"(47.692854, -122.363335)",F150128337
3924 Montlake Blvd Ne,Auto Fire Alarm,11/08/2015 11:13:00 PM +0000,47.652652,-122.303049,"(47.652652, -122.303049)",F150128335
3201 E Republican St,Auto Fire Alarm,11/08/2015 09:52:00 PM +0000,47.623639,-122.291073,"(47.623639, -122.291073)",F150128322
1600 S Columbian Way,Auto Fire Alarm,11/08/2015 07:14:00 PM +0000,47.563242,-122.312741,"(47.563242, -122.312741)",F150128283
800 Jefferson St,Auto Fire Alarm,11/08/2015 06:47:00 PM +0000,47.604377,-122.325207,"(47.604377, -122.325207)",F150128272
7500 East Marginal Way S,Auto Fire Alarm,11/08/2015 06:26:00 PM +0000,47.535372,-122.315012,"(47.535372, -122.315012)",F150128269
8808 6th Av Nw,Auto Fire Alarm,11/08/2015 05:57:00 PM +0000,47.692854,-122.363335,"(47.692854, -122.363335)",F150128260
4290 Whitman Ct Ne,Auto Fire Alarm,11/08/2015 05:47:00 PM +0000,47.659434,-122.30429,"(47.659434, -122.30429)",F150128256
1315 Ne 47th St,Auto Fire Alarm,11/08/2015 10:25:00 AM +0000,47.663099,-122.314064,"(47.663099, -122.314064)",F150128193
4744 University Way Ne,Auto Fire Alarm,11/08/2015 08:44:00 AM +0000,47.663353,-122.313098,"(47.663353, -122.313098)",F150128169
505 Ne 70th St,Auto Fire Alarm,11/08/2015 04:54:00 AM +0000,47.679461,-122.322756,"(47.679461, -122.322756)",F150128118
2519 1st Av,Auto Fire Alarm,11/08/2015 01:57:00 AM +0000,47.614798,-122.348918,"(47.614798, -122.348918)",F150128052
12316 28th Av Ne,Auto Fire Alarm,11/08/2015 12:40:00 AM +0000,47.717708,-122.297948,"(47.717708, -122.297948)",F150128029
206 Bell St,Auto Fire Alarm,11/07/2015 11:08:00 PM +0000,47.614081,-122.3456,"(47.614081, -122.3456)",F150127992
115 Prefontaine Pl S,Auto Fire Alarm,11/07/2015 11:03:00 PM +0000,47.601612,-122.330037,"(47.601612, -122.330037)",F150127991
2215 1st Av,Auto Fire Alarm,11/07/2015 09:48:00 PM +0000,47.612716,-122.345399,"(47.612716, -122.345399)",F150127951
325 9th Av,Auto Fire Alarm,11/07/2015 09:05:00 PM +0000,47.603588,-122.322949,"(47.603588, -122.322949)",F150127928
1519 Elliott Av W,Auto Fire Alarm,11/07/2015 07:29:00 PM +0000,47.632329,-122.375718,"(47.632329, -122.375718)",F150127886
6831 62nd Av Ne,Auto Fire Alarm,11/07/2015 07:13:00 PM +0000,47.678042,-122.262216,"(47.678042, -122.262216)",F150127879
hardrock*,Auto Fire Alarm,11/07/2015 05:35:00 PM +0000,,,"(0, 0)",F150127830
859 Ne Northgate Way,Auto Fire Alarm,11/07/2015 02:35:00 PM +0000,47.708572,-122.319754,"(47.708572, -122.319754)",F150127792
110 Union St,Auto Fire Alarm,11/07/2015 01:01:00 AM +0000,47.607875,-122.338992,"(47.607875, -122.338992)",F150127582
4629 21st Av Ne,Auto Fire Alarm,11/07/2015 12:35:00 AM +0000,47.662432,-122.305466,"(47.662432, -122.305466)",F150127577
1417 Queen Anne Av N,Auto Fire Alarm,11/06/2015 11:56:00 PM +0000,47.631471,-122.356593,"(47.631471, -122.356593)",F150127563
2801 Sw Thistle St,Auto Fire Alarm,11/06/2015 11:39:00 PM +0000,47.528282,-122.368551,"(47.528282, -122.368551)",F150127559
1221 Madison St,Auto Fire Alarm,11/06/2015 11:22:00 PM +0000,47.609902,-122.323791,"(47.609902, -122.323791)",F150127554
200 University St,Auto Fire Alarm,11/06/2015 11:04:00 PM +0000,47.607299,-122.337087,"(47.607299, -122.337087)",F150127544
339 22nd Av E,Auto Fire Alarm,11/06/2015 07:15:00 PM +0000,47.620904,-122.303608,"(47.620904, -122.303608)",F150127470
6727 Rainier Av S,Auto Fire Alarm,11/06/2015 07:00:00 PM +0000,47.542238,-122.272642,"(47.542238, -122.272642)",F150127466
520 S Main St,Auto Fire Alarm,11/06/2015 05:31:00 PM +0000,47.600034,-122.327396,"(47.600034, -122.327396)",F150127446
802 N 43rd St,Auto Fire Alarm,11/06/2015 04:18:00 PM +0000,47.659335,-122.348621,"(47.659335, -122.348621)",F150127425
100 Melrose Av E,Auto Fire Alarm,11/06/2015 08:46:00 AM +0000,47.618497,-122.327854,"(47.618497, -122.327854)",F150127350
13725 32nd Av Ne,Auto Fire Alarm,11/06/2015 06:40:00 AM +0000,47.728365,-122.293639,"(47.728365, -122.293639)",F150127326
2033 6th Av,Auto Fire Alarm,11/06/2015 06:34:00 AM +0000,47.614642,-122.338738,"(47.614642, -122.338738)",F150127322
3235 16th Av Sw,Auto Fire Alarm,11/06/2015 06:30:00 AM +0000,47.574817,-122.355298,"(47.574817, -122.355298)",F150127320
1101 Dexter Av N,Auto Fire Alarm,11/06/2015 04:27:00 AM +0000,47.628871,-122.342312,"(47.628871, -122.342312)",F150127296
1250 5th Av N,Auto Fire Alarm,11/06/2015 04:08:00 AM +0000,47.630682,-122.347488,"(47.630682, -122.347488)",F150127290
1420 Terry Av,Auto Fire Alarm,11/06/2015 03:49:00 AM +0000,47.6122,-122.329292,"(47.6122, -122.329292)",F150127285
1046 1st Av S,Auto Fire Alarm,11/06/2015 02:40:00 AM +0000,47.593232,-122.334194,"(47.593232, -122.334194)",F150127256
1000 8th Av,Auto Fire Alarm,11/06/2015 02:03:00 AM +0000,47.607945,-122.328471,"(47.607945, -122.328471)",F150127241
1229 Madison St,Auto Fire Alarm,11/06/2015 01:33:00 AM +0000,47.60994,-122.3237,"(47.60994, -122.3237)",F150127233
747 Broadway,Auto Fire Alarm,11/05/2015 06:29:00 PM +0000,47.608621,-122.320756,"(47.608621, -122.320756)",F150127080
