Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
Nw 45th St / 6th Av Nw,Wires Down,02/17/2015 09:55:00 PM +0000,47.661462,-122.364006,"(47.661462, -122.364006)",F150018034
Nw 45th St / 6th Av Nw,Wires Down,02/17/2015 09:53:00 PM +0000,47.661462,-122.364006,"(47.661462, -122.364006)",F150018033
20th Av S / S Horton St,Wires Down,02/09/2015 08:06:00 AM +0000,47.574047,-122.306013,"(47.574047, -122.306013)",F150014692
S Hill St / M L King Jr Way S,Wires Down,02/06/2015 03:37:00 PM +0000,47.584493,-122.298138,"(47.584493, -122.298138)",F150013643
10th Av E / E Thomas St,Wires Down,02/02/2015 10:14:00 PM +0000,47.621083,-122.319938,"(47.621083, -122.319938)",F150012234
48th Av S / S Dawson St,Wires Down,01/23/2015 05:49:00 AM +0000,47.554862,-122.27264,"(47.554862, -122.27264)",F150008275
Garfield St / Taylor Av N,Wires Down,01/21/2015 02:11:00 AM +0000,47.63315,-122.345946,"(47.63315, -122.345946)",F150007436
206 Ne 120th St,Wires Down,01/18/2015 10:59:00 AM +0000,47.715883,-122.327318,"(47.715883, -122.327318)",F150006479
3556 Sw 110th St,Wires Down,01/18/2015 09:36:00 AM +0000,47.504611,-122.377022,"(47.504611, -122.377022)",F150006436
39th Av W / W Emerson St,Wires Down,01/18/2015 09:35:00 AM +0000,47.654085,-122.406805,"(47.654085, -122.406805)",F150006438
Airport Way S / S Hardy St,Wires Down,12/23/2014 06:40:00 PM +0000,47.546517,-122.313028,"(47.546517, -122.313028)",F140138918
9241 17th Av Ne,Wires Down,12/12/2014 08:33:00 AM +0000,47.695729,-122.309471,"(47.695729, -122.309471)",F140134893
10754 68th Av S,Wires Down,12/12/2014 05:16:00 AM +0000,47.504929,-122.24939,"(47.504929, -122.24939)",F140134830
9320 52nd Av S,Wires Down,12/12/2014 05:03:00 AM +0000,47.519243,-122.267381,"(47.519243, -122.267381)",F140134819
112 N 144th St,Wires Down,12/12/2014 04:51:00 AM +0000,47.733213,-122.358274,"(47.733213, -122.358274)",F140134803
3607 34th Av W,Wires Down,12/12/2014 04:06:00 AM +0000,47.652303,-122.400905,"(47.652303, -122.400905)",F140134780
25th Av Ne / Ne 60th St,Wires Down,12/10/2014 06:55:00 PM +0000,47.67215,-122.300639,"(47.67215, -122.300639)",F140134050
705 N 94th St,Wires Down,12/09/2014 04:03:00 PM +0000,47.696878,-122.349919,"(47.696878, -122.349919)",F140133624
2518 Queen Anne Av N,Wires Down,12/06/2014 09:50:00 PM +0000,47.641747,-122.356898,"(47.641747, -122.356898)",F140132732
7120 Greenwood Av N,Wires Down,12/03/2014 02:59:00 PM +0000,47.680396,-122.35531,"(47.680396, -122.35531)",F140131498
E Thomas St / Bellevue Av E,Wires Down,11/29/2014 10:58:00 PM +0000,47.620831,-122.326579,"(47.620831, -122.326579)",F140130201
