Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
Highland Park Way Sw / West Marginal Way Sw,Motor Vehicle Incident,01/12/2015 02:34:00 PM +0000,47.540353,-122.342181,"(47.540353, -122.342181)",F150004220
2133 5th Av,Motor Vehicle Incident,01/12/2015 11:21:00 AM +0000,47.614747,-122.340899,"(47.614747, -122.340899)",F150004189
13th Av / E Jefferson St,Motor Vehicle Incident,01/12/2015 01:01:00 AM +0000,47.606197,-122.315471,"(47.606197, -122.315471)",F150004046
3rd Av Nw / Nw 70th St,Motor Vehicle Incident,01/11/2015 09:34:00 PM +0000,47.67956,-122.360469,"(47.67956, -122.360469)",F150003992
5900 West Marginal Way Sw,Motor Vehicle Incident,01/11/2015 12:06:00 PM +0000,47.549185,-122.345547,"(47.549185, -122.345547)",F150003886
13th Av / E Madison St,Motor Vehicle Incident,01/11/2015 06:14:00 AM +0000,47.613354,-122.315518,"(47.613354, -122.315518)",F150003785
15th Av Ne / Ne 143rd St,Motor Vehicle Incident,01/11/2015 04:46:00 AM +0000,47.732126,-122.312724,"(47.732126, -122.312724)",F150003746
N 41st St / Wallingford Av N,Motor Vehicle Incident,01/11/2015 04:03:00 AM +0000,47.656817,-122.336241,"(47.656817, -122.336241)",F150003736
Nw 65th St / 12th Av Nw,Motor Vehicle Incident,01/10/2015 10:59:00 PM +0000,47.675962,-122.371953,"(47.675962, -122.371953)",F150003628
S Mcclellan St / Rainier Av S,Motor Vehicle Incident,01/10/2015 09:12:00 AM +0000,47.57835,-122.298151,"(47.57835, -122.298151)",F150003449
Boren Av / Olive Way,Motor Vehicle Incident,01/10/2015 06:47:00 AM +0000,47.61545,-122.33073,"(47.61545, -122.33073)",F150003412
12th Av S / Boren Av S,Motor Vehicle Incident,01/10/2015 12:06:00 AM +0000,47.600853,-122.316965,"(47.600853, -122.316965)",F150003307
2nd Av W / Western Av W,Motor Vehicle Incident,01/09/2015 10:07:00 PM +0000,47.619785,-122.359358,"(47.619785, -122.359358)",F150003247
15th Av S / S Snoqualmie St,Motor Vehicle Incident,01/09/2015 08:01:00 PM +0000,47.561701,-122.31348,"(47.561701, -122.31348)",F150003199
Albion Pl N / Bridge Way N,Motor Vehicle Incident,01/09/2015 06:43:00 PM +0000,47.653406,-122.344714,"(47.653406, -122.344714)",F150003170
Ne 93rd St / Sand Point Way Ne,Motor Vehicle Incident,01/09/2015 04:32:00 PM +0000,47.695896,-122.276484,"(47.695896, -122.276484)",F150003130
18th Av Sw / Sw Trenton St,Motor Vehicle Incident,01/09/2015 04:56:00 AM +0000,47.5247,-122.357775,"(47.5247, -122.357775)",F150002983
235 Bellevue Av E,Motor Vehicle Incident,01/09/2015 03:01:00 AM +0000,47.620039,-122.326574,"(47.620039, -122.326574)",F150002962
Aurora Av N / N 115th St,Motor Vehicle Incident,01/08/2015 11:35:00 PM +0000,47.712319,-122.344814,"(47.712319, -122.344814)",F150002897
39th Av S / S Graham St,Motor Vehicle Incident,01/08/2015 10:39:00 PM +0000,47.546021,-122.283341,"(47.546021, -122.283341)",F150002881
35th Av Sw / Fauntleroy Way Sw,Motor Vehicle Incident,01/08/2015 08:24:00 PM +0000,47.565546,-122.376196,"(47.565546, -122.376196)",F150002842
2700 M L King Jr Way S,Motor Vehicle Incident,01/08/2015 08:05:00 PM +0000,47.579338,-122.296188,"(47.579338, -122.296188)",F150002835
Alaskan Way S / East Marginal Way S,Motor Vehicle Incident,01/08/2015 06:39:00 PM +0000,47.586683,-122.340002,"(47.586683, -122.340002)",F150002817
M L King Jr Way S / S Kenyon St,Motor Vehicle Incident,01/08/2015 04:50:00 PM +0000,47.531537,-122.280793,"(47.531537, -122.280793)",F150002777
30th Av Sw / Sw Thistle St,Motor Vehicle Incident,01/08/2015 04:46:00 PM +0000,47.528283,-122.371246,"(47.528283, -122.371246)",F150002776
Brooklyn Av Ne / Ne Pacific St,Motor Vehicle Incident,01/08/2015 12:26:00 AM +0000,47.653599,-122.314489,"(47.653599, -122.314489)",F150002549
Burke Av N / N 46th St,Motor Vehicle Incident,01/07/2015 10:51:00 PM +0000,47.662127,-122.335168,"(47.662127, -122.335168)",F150002518
Ne 125th St / Lake City Way Ne,Motor Vehicle Incident,01/07/2015 10:49:00 PM +0000,47.719279,-122.295233,"(47.719279, -122.295233)",F150002516
Wallingford Av N / N 97th St,Motor Vehicle Incident,01/07/2015 04:00:00 PM +0000,47.699594,-122.336545,"(47.699594, -122.336545)",F150002386
56TH AV S / S BANGOR ST,Motor Vehicle Incident,01/07/2015 03:26:00 PM +0000,47.506124,-122.263103,"(47.506124, -122.263103)",F150002378
5th Av Ne / Ne 117th St,Motor Vehicle Incident,01/07/2015 03:05:00 AM +0000,47.714046,-122.323434,"(47.714046, -122.323434)",F150002215
Ne 117th St / 5th Av Ne,Motor Vehicle Incident,01/07/2015 03:05:00 AM +0000,47.714046,-122.323434,"(47.714046, -122.323434)",F150002214
7615 California Av Sw,Motor Vehicle Incident,01/06/2015 10:47:00 PM +0000,47.534263,-122.38733,"(47.534263, -122.38733)",F150002113
East Marginal Way S / 1st Av S,Motor Vehicle Incident,01/06/2015 05:05:00 PM +0000,47.548271,-122.334309,"(47.548271, -122.334309)",F150001972
