Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
4606 Ne 105th St,Automatic Fire Alarm Resd,06/03/2011 07:50:00 PM +0000,47.70459,-122.277891,"(47.70459, -122.277891)",F110048895
2611 Perkins Ln W,Automatic Fire Alarm Resd,06/03/2011 07:42:00 PM +0000,47.642824,-122.416307,"(47.642824, -122.416307)",F110048891
3022 39th Av Sw,Automatic Fire Alarm Resd,06/03/2011 06:08:00 PM +0000,47.576783,-122.38134,"(47.576783, -122.38134)",F110048853
7037 12th Av Nw,Automatic Fire Alarm Resd,06/03/2011 05:59:00 PM +0000,47.67977,-122.371494,"(47.67977, -122.371494)",F110048850
10205 35th Av Sw,Automatic Fire Alarm Resd,06/03/2011 04:06:00 PM +0000,47.511866,-122.376115,"(47.511866, -122.376115)",F110048811
1523 Ne 90th St,Automatic Fire Alarm Resd,06/03/2011 12:55:00 PM +0000,47.693976,-122.311846,"(47.693976, -122.311846)",F110048648
803 Nw 64th St,Automatic Fire Alarm Resd,06/03/2011 11:58:00 AM +0000,47.675265,-122.366108,"(47.675265, -122.366108)",F110048771
2517 E Helen St,Automatic Fire Alarm Resd,06/02/2011 10:47:00 PM +0000,47.628164,-122.300076,"(47.628164, -122.300076)",F110048600
5218 16th Av Ne,Automatic Fire Alarm Resd,06/02/2011 12:58:00 PM +0000,47.666541,-122.310776,"(47.666541, -122.310776)",F110048280
6303 Fauntleroy Way Sw,Automatic Fire Alarm Resd,06/02/2011 04:27:00 AM +0000,47.546581,-122.383161,"(47.546581, -122.383161)",F110048338
459 Boston St,Automatic Fire Alarm Resd,06/02/2011 03:32:00 AM +0000,47.638256,-122.348079,"(47.638256, -122.348079)",F110048321
1858 Broadmoor Dr E,Automatic Fire Alarm Resd,06/02/2011 03:24:00 AM +0000,47.635721,-122.288202,"(47.635721, -122.288202)",F110048319
4114 20th Av Sw,Automatic Fire Alarm Resd,06/02/2011 02:43:00 AM +0000,47.566604,-122.359059,"(47.566604, -122.359059)",F110048315
216 30th Av S,Automatic Fire Alarm Resd,06/02/2011 01:19:00 AM +0000,47.600764,-122.293764,"(47.600764, -122.293764)",F110048289
5036 50th Av Sw,Automatic Fire Alarm Resd,06/01/2011 10:31:00 PM +0000,47.557155,-122.39635,"(47.557155, -122.39635)",F110048210
8023 17th Av Ne,Automatic Fire Alarm Resd,06/01/2011 07:42:00 PM +0000,47.686879,-122.310005,"(47.686879, -122.310005)",F110048145
4615 1st Av Nw,Automatic Fire Alarm Resd,06/01/2011 06:51:00 PM +0000,47.662509,-122.357708,"(47.662509, -122.357708)",F110048126
3241 35th Av S,Automatic Fire Alarm Resd,06/01/2011 06:42:00 PM +0000,47.574612,-122.288797,"(47.574612, -122.288797)",F110048124
9703 34th Av Sw,Automatic Fire Alarm Resd,06/01/2011 04:26:00 AM +0000,47.51705,-122.375548,"(47.51705, -122.375548)",F110047967
2515 E Olive St,Automatic Fire Alarm Resd,06/01/2011 04:03:00 AM +0000,47.616472,-122.299879,"(47.616472, -122.299879)",F110047961
5064 25th Av S,Automatic Fire Alarm Resd,05/31/2011 02:01:00 AM +0000,47.556948,-122.300372,"(47.556948, -122.300372)",F110047562
3109 S Lane St,Automatic Fire Alarm Resd,05/30/2011 07:56:00 PM +0000,47.596663,-122.292564,"(47.596663, -122.292564)",F110047478
2001 31st Av S,Automatic Fire Alarm Resd,05/30/2011 06:46:00 PM +0000,47.585145,-122.292998,"(47.585145, -122.292998)",F110047458
2635 W Plymouth St,Automatic Fire Alarm Resd,05/30/2011 06:24:00 PM +0000,47.636268,-122.390822,"(47.636268, -122.390822)",F110047454
2135 Nw 97th St,Automatic Fire Alarm Resd,05/30/2011 12:59:00 PM +0000,47.699721,-122.384651,"(47.699721, -122.384651)",F110047295
4917 Stanford Av Ne,Automatic Fire Alarm Resd,05/30/2011 12:21:00 PM +0000,47.671075,-122.274537,"(47.671075, -122.274537)",F110047285
3805 W Parkmont Pl,Automatic Fire Alarm Resd,05/30/2011 06:19:00 AM +0000,47.642064,-122.407305,"(47.642064, -122.407305)",F110047362
3221 51st Av Sw,Automatic Fire Alarm Resd,05/30/2011 06:01:00 AM +0000,47.575632,-122.397357,"(47.575632, -122.397357)",F110047355
9146 Spear Pl S,Automatic Fire Alarm Resd,05/29/2011 10:12:00 PM +0000,47.521297,-122.275744,"(47.521297, -122.275744)",F110047259
5972 Rainier Av S,Automatic Fire Alarm Resd,05/29/2011 11:13:00 AM +0000,47.548743,-122.276956,"(47.548743, -122.276956)",F110047136
4515 47th Av S,Automatic Fire Alarm Resd,05/29/2011 04:34:00 AM +0000,47.562717,-122.274485,"(47.562717, -122.274485)",F110047062
9809 57th Av S,Automatic Fire Alarm Resd,05/29/2011 04:13:00 AM +0000,47.513036,-122.262053,"(47.513036, -122.262053)",F110047056
4746 47th Av Ne,Automatic Fire Alarm Resd,05/28/2011 08:38:00 PM +0000,47.663363,-122.277328,"(47.663363, -122.277328)",F110046944
1652 10th Av E,Automatic Fire Alarm Resd,05/28/2011 09:44:00 AM +0000,47.633587,-122.319796,"(47.633587, -122.319796)",F110046836
6352 Swift Av S,Automatic Fire Alarm Resd,05/28/2011 07:56:00 AM +0000,47.545725,-122.306412,"(47.545725, -122.306412)",F110046812
3448 35th Av W,Automatic Fire Alarm Resd,05/28/2011 03:00:00 AM +0000,47.650874,-122.402287,"(47.650874, -122.402287)",F110046736
2332 Nw 97th St,Automatic Fire Alarm Resd,05/28/2011 02:41:00 AM +0000,47.699721,-122.386012,"(47.699721, -122.386012)",F110046728
1903 E Calhoun St,Automatic Fire Alarm Resd,05/28/2011 01:02:00 AM +0000,47.641009,-122.307199,"(47.641009, -122.307199)",F110046688
7323 Bowlyn Pl S,Automatic Fire Alarm Resd,05/27/2011 07:26:00 PM +0000,47.536374,-122.265618,"(47.536374, -122.265618)",F110046591
4029 Meridian Av N,Automatic Fire Alarm Resd,05/27/2011 12:48:00 PM +0000,47.655942,-122.333818,"(47.655942, -122.333818)",F110046401
4609 42nd Av S,Automatic Fire Alarm Resd,05/27/2011 04:35:00 AM +0000,47.562026,-122.280744,"(47.562026, -122.280744)",F110046462
6515 16th Av Nw,Automatic Fire Alarm Resd,05/27/2011 03:17:00 AM +0000,47.676119,-122.377829,"(47.676119, -122.377829)",F110046445
431 26th Av E,Automatic Fire Alarm Resd,05/27/2011 02:30:00 AM +0000,47.622972,-122.298777,"(47.622972, -122.298777)",F110046434
